x,29/09/2022,25/09/2022,20/09/2022,17/09/2022,13/09/2022,08/09/2022,02/10/2022,winter_median,august_mean,elevation
8452.576366,58.80945206,112.9222565,125.5463486,89.48799896,140.013855,261.500885,112.3978043,110.4945984,146.9504517,540
8727.667649,63.68278122,121.2133713,128.3766174,92.88334656,147.3383331,264.1669006,113.6212997,113.9986115,151.1411545,559
9002.758932,70.30488586,124.5706558,135.5850677,89.73213959,152.2178497,265.5732422,110.6306229,119.7192993,154.5674667,572
9277.850216,74.60843658,124.0786819,136.1795807,89.64157104,156.6611481,268.5984802,104.6147461,118.7637787,155.321283,581
9552.941499,79.59751892,127.4550171,133.1402435,97.73254395,161.6076965,272.5984192,102.2078094,119.509243,155.8986862,586
9828.032782,83.7437973,131.9106293,128.8755951,94.87070465,162.8063049,276.5922241,96.55730438,122.685173,155.3186676,584
10103.12407,83.7437973,131.9106293,128.8755951,94.87070465,162.8063049,276.5922241,96.55730438,122.685173,155.3186676,583
10378.21535,81.9886322,137.9079437,126.6394806,99.88182831,166.3184357,279.9248962,95.05025482,122.8575363,157.2105545,584
10653.30663,83.22054291,136.6369934,128.0387268,107.1540527,167.3657532,282.2294922,97.48106384,124.080162,159.3740448,588
10928.39792,73.56544495,139.463562,131.1753235,131.8909149,176.326416,288.8241577,103.6290894,127.3257904,167.3973236,595
11203.4892,79.04521942,141.2463684,136.7225037,139.4017181,177.7271271,294.556427,108.3168945,129.4179535,172.8777252,604
11478.58048,89.66841888,147.2443237,149.6842957,151.075531,187.353714,306.6845398,122.7103119,143.4262695,185.8336304,611
11753.67177,95.49356079,150.1794434,157.7772827,151.2829132,188.4006958,313.6203003,133.2963867,146.3010406,189.1161377,617
12028.76305,105.0934753,158.1950073,172.8987427,160.1295776,196.3554535,325.4510498,143.5541382,154.9837952,197.349646,626
12303.85433,102.5008163,160.4276428,174.442337,154.4436798,196.8305511,328.4682617,149.4076233,154.9197922,196.429892,633
12578.94562,107.6928177,167.04039,181.609024,160.7242584,203.9776611,337.9031372,155.2301025,166.2710495,203.4382751,636
12854.0369,107.6522369,168.9363251,179.5949707,154.4555664,203.4636993,338.1737061,153.3513947,167.9800797,202.3135315,639
13129.12818,107.550972,169.0233612,177.8485565,146.9759827,201.3672028,337.1896362,146.6395874,167.7961884,201.1202271,645
13404.21947,125.3188477,169.490097,190.255661,158.0230408,207.1349945,341.8793945,138.1741486,174.2969818,206.4111542,650
13679.31075,133.6378326,169.6746979,189.7290802,155.1182251,207.4395447,339.6547852,133.1094513,172.9050751,203.5114014,654
13954.40203,140.3552856,170.1652679,188.4347534,150.1968842,207.4608917,336.5866699,129.729538,173.1789932,201.2635773,656
14229.49332,152.4719696,176.9655151,197.9095764,152.2481079,215.9351044,341.1234436,136.6323853,179.3595657,208.1467743,656
14504.5846,154.5603485,178.1020508,195.3151398,155.4020844,213.6936188,338.3265991,137.8071289,179.3705368,207.9065552,659
14779.67588,155.2845154,177.8622742,192.3518677,162.0389557,213.1445313,336.0204163,139.647995,179.2686386,208.0011536,666
14936.01593,155.2845154,177.8622742,192.3518677,162.0389557,213.1445313,336.0204163,139.647995,179.2686386,208.0011536,671
15092.35599,154.8406372,177.3136749,189.3051453,170.3599548,213.6849365,334.4911194,141.6743927,181.0506744,208.0820801,679
15248.69604,156.7554626,185.2288513,194.8250427,181.3343048,220.7184296,340.7400513,146.7162628,186.9595261,213.7583588,683
15405.03609,156.7554626,185.2288513,194.8250427,181.3343048,220.7184296,340.7400513,146.7162628,186.9595261,213.7583588,692
15561.37614,156.7303772,184.706192,192.5773773,185.3852844,222.1238861,340.1453857,148.875824,188.5060272,214.2519287,698
15717.71619,157.427124,184.982132,191.7625885,188.3852234,220.5640869,337.8292236,151.4833679,188.7820587,215.8625793,704
15874.05625,157.427124,184.982132,191.7625885,188.3852234,220.5640869,337.8292236,151.4833679,188.7820587,215.8625793,707
16030.3963,159.5177002,184.0632935,191.9884796,191.2099304,217.7932892,333.1941528,154.7177887,190.7849045,218.0261688,719
16186.73635,159.5177002,184.0632935,191.9884796,191.2099304,217.7932892,333.1941528,154.7177887,190.7849045,218.0261688,728
16343.0764,162.8337097,183.1676178,193.1320953,190.4615326,216.7163544,326.3599243,156.9465179,190.9922562,219.567569,734
16499.41645,165.9069824,181.3714142,193.709198,188.1454773,215.5502625,317.4449158,157.4798889,189.6770935,220.052774,744
16655.75651,165.9069824,181.3714142,193.709198,188.1454773,215.5502625,317.4449158,157.4798889,189.6770935,220.052774,751
16812.09656,167.5873718,178.0223846,193.5355835,185.6927338,211.5958557,307.9874268,155.7322235,185.7897263,218.546875,756
16968.43661,167.9072266,174.0667267,192.2135315,183.2382507,205.9751892,298.6014404,151.4041901,183.4897461,216.6225647,760
17124.77666,167.9072266,174.0667267,192.2135315,183.2382507,205.9751892,298.6014404,151.4041901,183.4897461,216.6225647,761
17281.11672,166.9439087,169.9263,189.7868652,180.5205078,200.5148926,290.4213867,146.3198242,179.2634888,214.7447479,764
17437.45677,166.9439087,169.9263,189.7868652,180.5205078,200.5148926,290.4213867,146.3198242,179.2634888,214.7447479,766
17593.79682,164.8025818,166.2949371,186.8701324,178.5518341,195.7521667,283.8243103,141.3302002,175.8417435,212.3316498,765
17750.13687,162.1367493,163.6306152,183.5918579,177.2619324,192.4340668,278.0552063,137.6031647,173.3093185,208.8892365,768
17906.47692,162.1367493,163.6306152,183.5918579,177.2619324,192.4340668,278.0552063,137.6031647,173.3093185,208.8892365,770
18062.81698,159.3247528,161.4941711,180.4918518,176.5754852,189.9061584,272.6854553,135.6795044,171.0609207,205.0457458,773
18219.15703,159.3247528,161.4941711,180.4918518,176.5754852,189.9061584,272.6854553,135.6795044,171.0609207,205.0457458,780
18375.49708,157.4968109,160.4968719,177.40271,174.3093109,188.2539215,267.1882324,135.2182465,169.6568069,201.9784088,796
18531.83713,156.1399231,155.1718597,169.0672302,172.3815002,183.6889496,255.9624481,137.8386536,163.1292725,197.6005188,804
18688.17718,156.1399231,155.1718597,169.0672302,172.3815002,183.6889496,255.9624481,137.8386536,163.1292725,197.6005188,815
18844.51724,155.2046356,156.3583679,165.3636932,169.3878326,181.0364532,249.6394653,140.3954773,162.0586243,195.4773743,826
19000.85729,155.0557861,156.3323975,161.3057861,164.7052002,179.0749664,245.1818695,142.1483459,160.479744,192.9067535,833
