time,v_24h,obs_cover_percent
17/06/2022,97.74220982,6.666666667
18/06/2022,92.51806068,12.25694444
19/06/2022,94.81283178,8.738425926
20/06/2022,95.10333926,6.539351852
21/06/2022,93.24822696,10.71759259
22/06/2022,93.08523213,9.409722222
23/06/2022,96.33762284,8.055555556
24/06/2022,93.94205163,7.083333333
25/06/2022,93.77494815,12.95138889
26/06/2022,95.62927538,2.731481481
27/06/2022,94.94328586,2.893518519
28/06/2022,90.2701718,6.886574074
29/06/2022,94.19359154,5.462962963
30/06/2022,95.81967328,6.377314815
01/07/2022,93.55571662,5.706018519
02/07/2022,93.23905938,6.446759259
03/07/2022,94.15916756,3.969907407
04/07/2022,92.56340614,5
05/07/2022,96.55873583,3.06712963
06/07/2022,93.57098428,7.696759259
07/07/2022,94.97034362,6.747685185
08/07/2022,92.79706285,2.835648148
09/07/2022,97.18219692,4.756944444
10/07/2022,97.37684107,4.386574074
11/07/2022,92.70764178,6.087962963
12/07/2022,97.43779762,5.509259259
13/07/2022,96.1397748,5.914351852
14/07/2022,96.15301329,6.435185185
15/07/2022,97.7619303,6.354166667
16/07/2022,102.2683176,5.648148148
17/07/2022,101.1631761,6.886574074
18/07/2022,98.65769148,5.694444444
19/07/2022,104.5707963,7.060185185
20/07/2022,103.4182603,2.152777778
21/07/2022,102.5238652,5.613425926
22/07/2022,109.7845853,2.685185185
23/07/2022,109.7678586,3.078703704
24/07/2022,112.7380355,5.671296296
25/07/2022,133.096476,1.863425926
26/07/2022,136.3490231,2.881944444
27/07/2022,132.2506427,2.650462963
28/07/2022,136.7264354,3.37962963
29/07/2022,126.5396098,7.291666667
30/07/2022,131.3916745,4.710648148
31/07/2022,126.3855088,3.564814815
01/08/2022,129.5322859,2.685185185
02/08/2022,205.6758357,6.145833333
03/08/2022,125.8085385,8.645833333
04/08/2022,123.6239075,5.081018519
05/08/2022,133.0812449,3.263888889
06/08/2022,158.8827286,2.361111111
07/08/2022,151.1104732,2.858796296
08/08/2022,164.8179927,0.983796296
09/08/2022,184.919111,0.972222222
10/08/2022,191.279806,3.472222222
11/08/2022,166.2337318,2.708333333
12/08/2022,141.1288202,2.24537037
13/08/2022,127.1040853,3.414351852
14/08/2022,124.0837397,5.729166667
15/08/2022,121.8740562,6.678240741
16/08/2022,106.666356,6.053240741
17/08/2022,108.5814787,4.675925926
18/08/2022,111.7793677,2.233796296
19/08/2022,112.5016811,1.342592593
20/08/2022,110.6507738,2.268518519
21/08/2022,111.5087979,4.236111111
22/08/2022,101.4810356,5.405092593
23/08/2022,105.0401995,3.634259259
24/08/2022,95.9110469,4.606481481
25/08/2022,94.3845871,9.768518519
26/08/2022,98.32272355,5.68287037
27/08/2022,96.62976871,4.247685185
28/08/2022,95.28028072,2.141203704
29/08/2022,92.45227599,7.685185185
30/08/2022,97.00970641,9.641203704
31/08/2022,92.47134399,5.069444444
01/09/2022,92.67405984,2.905092593
02/09/2022,94.39302755,4.930555556
03/09/2022,92.1879961,1.134259259
04/09/2022,103.2236734,2.013888889
05/09/2022,180.0659575,1.93287037
06/09/2022,179.4981059,1.909722222
07/09/2022,173.5285055,1.539351852
08/09/2022,169.9620969,2.847222222
09/09/2022,147.2002985,2.974537037
10/09/2022,138.3897322,5.520833333
11/09/2022,127.3173865,4.768518519
12/09/2022,115.6942839,0
13/09/2022,109.3840485,0
14/09/2022,109.3840485,0
15/09/2022,109.3840485,2.55787037
16/09/2022,101.7869715,4.618055556
17/09/2022,100.8367969,3.80787037
